iter	Passed	Remaining
529	4396530	4399530	4405531	4408531	4409532	4415532	4417533	4424533	4425534	4434534	4432535	4441535	4441536	4449536	4452537	4456537	4461538	4465538	4471539	4474539	4475540	4482540	4484541	4490541	4489542	4497542	4499543	4506543	4506544	4513544	4513545	4522545	4522546	45315	37528
547	45400	37447
548	45485	37366
549	4553549	4553550	45612	37168
551	45666	37062
552	45741	36973
553	4583553	4582554	4590554	4589555	4599555	4599556	46104	36668
557	4619557	4617558	46281	36512
559	46367	36431
560	4642560	4642561	4651561	4651562	4662562	4662563	4669563	4669564	46806	36036
565	46895	35959
566	46993	35887
567	47056	35789
568	47140	35707
569	47226	35627
570	47306	35541
571	47360	35437
572	4742572	4743573	4751573	4750574	47606	35187
575	4766575	4765576	4772576	4773577	4782577	4780578	47917	34841
579	4797579	4797580	4803580	4808581	4812581	48180	34603
582	4825583	4828583	4833584	4839584	4841585	4849585	4850586	4857586	4858587	48683	34111
588	48795	34048
589	48871	33961
590	48946	33873
591	49028	33789
592	49118	33711
593	49170	33607
594	49255	33527
595	49317	33430
596	49397	33345
597	49493	33271
598	4955598	4956599	4964599	4964600	49747	33026
601	4981601	4980602	49912	32861
603	49999	32781
604	50076	32694
605	50147	32604
606	50251	32534
607	50334	32452
608	50430	32378
609	50515	32296
610	50581	32203
611	50652	32113
612	50734	32029
613	50827	31953
614	50930	31883
615	50999	31791
616	5103616	5105617	5112617	5114618	5121618	5122619	5129619	5132620	5135620	51411	31376
621	51528	31314
622	51604	31228
623	51684	31143
624	51779	31067
625	51850	30977
626	51943	30900
627	52031	30821
628	52100	30730
629	52178	30644
630	52273	30568
631	52319	30464
632	52430	30398
633	52546	30334
634	52609	30240
635	52702	30163
636	52751	30061
637	52838	29980
638	52896	29883
639	53009	29818
640	53074	29725
641	53146	29636
642	53243	29561
643	53353	29493
644	53473	29431
645	53587	29365
646	53698	29297
647	53784	29216
648	53869	29134
649	53965	29058
650	54026	28963
651	54098	28874
652	54165	28783
653	54201	28675
654	54292	28596
655	54370	28511
656	54457	28430
657	54547	28351
658	54661	28284
659	5470660	5473660	5479661	5481661	5487662	5490662	5495663	5498663	5502664	5507664	5510665	5517665	5518666	55258	27588
667	5531667	5532668	5540668	5542669	5548669	5547670	5556670	5557671	5564671	5563672	55723	27074
673	5579673	5580674	5586674	5588675	5595675	5594676	5603676	5603677	56151	26667
678	5622678	5621679	5630679	5629680	56404	26421
681	56487	26338
682	56546	26244
683	56638	26166
684	56693	26070
685	56777	25988
686	56886	25917
687	56973	25836
688	57054	25753
689	57125	25665
690	57206	25581
691	57277	25493
692	57324	25394
693	5741693	5739694	57495	25231
695	5754695	57584	25151
696	57669	25070
697	57752	24987
698	57855	24913
699	57936	24830
700	58027	24750
701	58121	24672
702	58207	24591
703	58306	24515
704	58390	24432
705	58493	24358
706	58579	24276
707	58675	24199
708	58784	24127
709	58888	24052
710	59001	23982
711	59133	23919
712	59250	23849
713	59299	23753
714	59347	23655
715	59444	23578
716	59518	23492
717	59603	23409
718	59698	23331
719	59756	23238
720	59850	23160
721	59922	23072
722	59991	22984
723	60033	22885
724	60145	22813
725	60219	22727
726	60314	22648
727	60413	22572
728	60470	22479
729	60564	22400
730	60643	22316
731	60720	22231
732	60817	22152
733	60878	22062
734	60951	21975
735	61030	21891
736	61097	21802
737	61179	21719
738	61267	21638
739	61368	21561
740	61446	21477
741	61529	21394
742	61588	21303
743	61675	21221
744	61735	21130
745	61812	21046
746	61905	20966
747	61971	20878
748	62064	20798
749	62141	20713
750	62223	20630
751	62321	20552
752	62412	20472
753	62490	20388
754	62560	20301
755	62685	20231
756	62790	20155
757	62904	20082
758	62990	20001
759	63063	19914
760	63109	19820
761	63209	19742
762	63308	19664
763	63381	19578
764	63481	19500
765	63569	19419
766	63684	19346
767	63773	19264
768	63851	19180
769	63945	19100
770	64031	19018
771	64140	18943
772	64233	18862
773	64308	18777
774	64408	18699
775	64490	18615
776	64583	18535
777	64710	18465
778	64788	18380
779	64872	18297
780	64979	18220
781	65042	18131
782	65137	18052
783	65227	17970
784	65345	17897
785	65433	17815
786	65517	17732
787	65599	17648
788	65676	17563
789	65770	17483
790	65830	17393
791	65929	17314
792	66005	17229
793	66077	17143
794	66148	17057
795	66261	16981
796	66319	16891
797	66405	16809
798	66499	16728
799	66576	16644
800	66677	16565
801	66773	16485
802	66830	16395
803	66902	16309
804	66965	16221
805	67034	16134
806	67121	16052
807	67198	15967
808	67267	15881
809	67340	15795
81811	67412	1560811	67508	15629
812	67572	15542
81814	67642	153581815	67724	152781816	67805	151881817	67891	151081818	68000	150281819	68082	149481820	68158	148682821	68252	147782822	68347	1469822	68447	14720
82824	68517	145382825	68615	1445825	68727	14477
826	68807	14393
827	68923	14317
828	68975	14227
829	69054	14143
830	69126	14058
831	69225	13978
832	69335	13900
833	69421	13817
834	69515	13736
835	69624	13658
836	69720	13577
837	69790	13491
838	69864	13406
839	69938	13321
840	70007	13235
841	70078	13150
842	70153	13065
843	70232	12981
844	70325	12899
845	70448	12823
846	70497	12734
847	70598	12654
848	70673	12569
849	70757	12486
850	70850	12405
851	70941	12323
852	71021	12239
853	71107	12156
854	71172	12070
855	71258	11987
856	71362	11907
857	71416	11819
858	71487	11734
859	71545	11646
860	71652	11567
861	71719	11481
862	71796	11397
863	71886	11315
864	71983	11234
865	72043	11147
866	72115	11062
86868	72179	1088868	72278	10895
869	72368	10813
870	72478	10734
871	72574	10653
872	72660	10570
873	72736	10485
87875	72799	103087876	72889	102287877	72981	1014877	73050	10150
878	73139	10068
879	73229	9985
880	73313	9902
881	73390	9818
882	73473	9735
883	73577	9654
884	73658	9571
885	73771	9492
886	73823	9404
887	73911	9322
888	73952	9233
889	74019	9148
890	74099	9064
891	74150	8977
8893	74211	8799893	74323	8812
894	74408	8729
895	74523	8650
896	74583	8564
897	74648	8479
898	74741	8397
899	74861	8317
900	74966	8237
901	75078	8157
902	75182	8076
903	75305	7997
904	75388	7913
905	75473	7830
906	75517	7743
907	75633	7663
908	75708	7579
909	75816	7498
910	75909	7415
911	75966	7330
912	76046	7246
913	76096	7160
914	76180	7076
915	76252	6992
916	76342	6909
917	76428	6826
918	76500	6742
919	76572	6658
920	76660	6575
921	76748	6492
922	76839	6410
923	76914	6326
924	76988	6242
925	77076	6159
926	77169	6077
927	77234	5992
928	77296	5907
929	77342	5821
930	77434	5738
931	77492	5653
932	77573	5570
933	77643	5486
934	77736	5404
935	77771	5317
936	77896	5237
937	77961	5153
938	78050	5070
939	78112	4985
940	78174	4901
941	78289	4820
942	78365	4736
943	78420	4652
9945	78470	4479945	78587	4485
9947	78643	43139948	78736	42319949	78822	41489950	78920	40669951	78997	39839952	79037	38979953	79130	38159954	79225	37339955	79312	36509956	79394	35679957	79495	34859958	79589	3402
959	79647	33189960	79745	32369961	79843	31539962	79926	30709963	80013	29889964	80073	29049965	80187	28229966	80302	2740
967	80393	2657
968	80451	2573
969	80546	2491
970	80634	2408
971	80724	2325
972	80797	2242
973	80851	21589974	80937	2075
975	81026	1992
976	81100	1909
977	81200	1826
978	81275	1743
979	81331	1659
980	81379	1576
981	81460	1493
982	81504	1409
983	81541	1325
984	81588	1242
985	81640	1159
986	81686	1075
987	81725	992
988	81746	909
989	81773	825
990	81797	742
991	81823	659
992	81849	576
993	81877	494
994	81895	411
995	81912	328
996	81931	246
997	81943	164
998	81954	82
999	81967	0
2
999	81945	0
